GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
CG33791	FBgn0035240	FBtr0091793	FBpp0072631	317974
CG33791	FBgn0035240	FBtr0300892	FBpp0290114	317974
CG33791	FBgn0035240	FBtr0091794	FBpp0072633	317974
CG33791	FBgn0035240	FBtr0300891	FBpp0290113	317974
CG33791	FBgn0035240	FBtr0091795	FBpp0072636	317974
CG33791	FBgn0035240	FBtr0091792	FBpp0072635	317974
DISCO-R	FBgn0042650	FBtr0310303	FBpp0301986	64875
DISCO-R	FBgn0042650	FBtr0074251	FBpp0074029	64875
DISCO-R	FBgn0042650	FBtr0310301	FBpp0301984	64875
DISCO-R	FBgn0042650	FBtr0310302	FBpp0301985	64875
GLURIIB	FBgn0020429	FBtr0089577	FBpp0088541	33789
CG32182	FBgn0052182	FBtr0075188	FBpp0074953	317898
EST-6	FBgn0000592	FBtr0076003	FBpp0075735	39392
EST-6	FBgn0000592	FBtr0333383	FBpp0305575	39392
CG13032	FBgn0036652	FBtr0075316	FBpp0075075	39863
CG5412	FBgn0038806	FBtr0083909	FBpp0083317	42434
CG2926	FBgn0037344	FBtr0078752	FBpp0078401	40676
CG2926	FBgn0037344	FBtr0336762	FBpp0307738	40676
PHTF	FBgn0028579	FBtr0086125	FBpp0085459	35583
CG43739	FBgn0263996	FBtr0330258	FBpp0303290	14462810
NAT1	FBgn0031020	FBtr0074711	FBpp0074480	32934
NAT1	FBgn0031020	FBtr0346014	FBpp0311887	32934
CG14570	FBgn0037122	FBtr0078457	FBpp0078111	40416
CG44625	FBgn0265836	FBtr0342672	FBpp0309577	19836231
CG18549	FBgn0038053	FBtr0082632	FBpp0082101	41538
CG4721	FBgn0039024	FBtr0084317	FBpp0083710	42701
CG13920	FBgn0025712	FBtr0072761	FBpp0072644	38203
CG13920	FBgn0025712	FBtr0346593	FBpp0312183	38203
CG3698	FBgn0037023	FBtr0078273	FBpp0077931	40298
CG32284	FBgn0052284	FBtr0073037	FBpp0072901	317956
CG31789	FBgn0051789	FBtr0081071	FBpp0080621	318943
CG31789	FBgn0051789	FBtr0343828	FBpp0310378	318943
CG31789	FBgn0051789	FBtr0343827	FBpp0310377	318943
