GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
STAI	FBgn0266521	FBtr0079196	FBpp0078827
STAI	FBgn0266521	FBtr0079197	FBpp0078828
CG34114	FBgn0083950	FBtr0301070	FBpp0290292
CG34114	FBgn0083950	FBtr0110808	FBpp0110105
IM1	FBgn0034329	FBtr0086662	FBpp0085843
MTHL14	FBgn0052476	FBtr0072501	FBpp0072402
NS2	FBgn0034243	FBtr0086906	FBpp0086063
ZNT77C	FBgn0037000	FBtr0078220	FBpp0077878
ZNT77C	FBgn0037000	FBtr0078221	FBpp0077879
CG10041	FBgn0038014	FBtr0082613	FBpp0082083
CG33308	FBgn0250834	FBtr0080673	FBpp0080235
CG3262	FBgn0032986	FBtr0334168	FBpp0306285
CG3262	FBgn0032986	FBtr0334169	FBpp0306286
CG3262	FBgn0032986	FBtr0299875	FBpp0289153
CG33051	FBgn0053051	FBtr0075230	FBpp0074992
L(2)37BB	FBgn0002021	FBtr0081177	FBpp0080719
OBP50A	FBgn0050067	FBtr0087557	FBpp0086685
OBP50A	FBgn0050067	FBtr0087558	FBpp0089300
NMDMC	FBgn0010222	FBtr0081997	FBpp0081477
NMDMC	FBgn0010222	FBtr0081996	FBpp0081476
NMDMC	FBgn0010222	FBtr0336761	FBpp0307737
EGH	FBgn0001404	FBtr0070439	FBpp0070423
EGH	FBgn0001404	FBtr0340091	FBpp0309090
EGH	FBgn0001404	FBtr0070440	FBpp0070424
CG34320	FBgn0085349	FBtr0112522	FBpp0111434
TBC1D15-17	FBgn0031233	FBtr0332339	FBpp0304616
TBC1D15-17	FBgn0031233	FBtr0078125	FBpp0077784
TBC1D15-17	FBgn0031233	FBtr0332338	FBpp0304615
CG13437	FBgn0034541	FBtr0086235	FBpp0085548
UCP4A	FBgn0030872	FBtr0074464	FBpp0074238
UCP4A	FBgn0030872	FBtr0339750	FBpp0308798
UCP4A	FBgn0030872	FBtr0303572	FBpp0292605
CG10344	FBgn0034729	FBtr0071841	FBpp0071752
CG10344	FBgn0034729	FBtr0071840	FBpp0071751
TEP2	FBgn0041182	FBtr0079511	FBpp0079134
TEP2	FBgn0041182	FBtr0079510	FBpp0079133
TEP2	FBgn0041182	FBtr0335488	FBpp0307461
TEP2	FBgn0041182	FBtr0079513	FBpp0079136
TEP2	FBgn0041182	FBtr0335487	FBpp0307460
MST98CA	FBgn0002865	FBtr0085277	FBpp0084646
PES	FBgn0031969	FBtr0344861	FBpp0311176
PES	FBgn0031969	FBtr0344860	FBpp0311175
PES	FBgn0031969	FBtr0300183	FBpp0289420
PES	FBgn0031969	FBtr0114550	FBpp0113042
PES	FBgn0031969	FBtr0331674	FBpp0304064
PES	FBgn0031969	FBtr0331673	FBpp0304063
NEO	FBgn0039704	FBtr0085486	FBpp0084852
NEO	FBgn0039704	FBtr0085485	FBpp0084851
ACP33A	FBgn0267327	FBtr0080270	FBpp0079854
WHAMY	FBgn0037750	FBtr0334688	FBpp0306746
WHAMY	FBgn0037750	FBtr0334689	FBpp0306747
WHAMY	FBgn0037750	FBtr0082159	FBpp0081637
WHAMY	FBgn0037750	FBtr0110789	FBpp0110086
WHAMY	FBgn0037750	FBtr0334687	FBpp0306745
TIG	FBgn0011722	FBtr0343152	FBpp0309850
TIG	FBgn0011722	FBtr0079275	FBpp0078905
PPA	FBgn0020257	FBtr0343014	FBpp0309766
PPA	FBgn0020257	FBtr0330249	FBpp0303282
PPA	FBgn0020257	FBtr0071924	FBpp0071835
CG43373	FBgn0263131	FBtr0307368	FBpp0298357
CG43373	FBgn0263131	FBtr0307367	FBpp0298356
BRV2	FBgn0036712	FBtr0075242	FBpp0075004
BRV2	FBgn0036712	FBtr0331846	FBpp0304230
DPR	FBgn0040726	FBtr0344877	FBpp0311190
DPR	FBgn0040726	FBtr0086238	FBpp0099910
CG7275	FBgn0036500	FBtr0075547	FBpp0075302
CG10217	FBgn0039113	FBtr0084464	FBpp0083855
CG10217	FBgn0039113	FBtr0084465	FBpp0083856
CG6607	FBgn0039204	FBtr0084644	FBpp0084028
SNA	FBgn0003448	FBtr0080739	FBpp0080298
CG10710	FBgn0036377	FBtr0075817	FBpp0075559
EMS	FBgn0000576	FBtr0082863	FBpp0082326
CG34207	FBgn0085236	FBtr0112400	FBpp0111315
CG3071	FBgn0023527	FBtr0070398	FBpp0070382
CG7632	FBgn0037071	FBtr0078339	FBpp0077995
CG7632	FBgn0037071	FBtr0321281	FBpp0302827
LID	FBgn0031759	FBtr0307069	FBpp0297912
LID	FBgn0031759	FBtr0079232	FBpp0078863
LID	FBgn0031759	FBtr0079231	FBpp0078862
LID	FBgn0031759	FBtr0307070	FBpp0297913
LID	FBgn0031759	FBtr0307071	FBpp0297914
LID	FBgn0031759	FBtr0345336	FBpp0311492
GMAP	FBgn0027287	FBtr0074042	FBpp0073859
GMAP	FBgn0027287	FBtr0074043	FBpp0073860
GMAP	FBgn0027287	FBtr0343525	FBpp0310129
VGLUT	FBgn0031424	FBtr0077769	FBpp0077449
VGLUT	FBgn0031424	FBtr0331202	FBpp0303629
VGLUT	FBgn0031424	FBtr0307078	FBpp0297921
POXN	FBgn0003130	FBtr0329908	FBpp0302942
POXN	FBgn0003130	FBtr0087311	FBpp0086446
CG42763	FBgn0261831	FBtr0303391	FBpp0292453
CG10062	FBgn0034439	FBtr0086522	FBpp0085710
CG10062	FBgn0034439	FBtr0334005	FBpp0306124
CG10062	FBgn0034439	FBtr0334006	FBpp0306125
CG5321	FBgn0030575	FBtr0343596	FBpp0310193
CG5321	FBgn0030575	FBtr0290021	FBpp0288460
CG17508	FBgn0039970	FBtr0086071	FBpp0085407
CG17508	FBgn0039970	FBtr0307172	FBpp0298001
MTHL5	FBgn0037960	FBtr0344288	FBpp0310692
MTHL5	FBgn0037960	FBtr0082515	FBpp0081989
JAGN	FBgn0037374	FBtr0078624	FBpp0078273
JAGN	FBgn0037374	FBtr0078625	FBpp0078274
MICAL-LIKE	FBgn0036333	FBtr0075898	FBpp0075632
CG13614	FBgn0039194	FBtr0084614	FBpp0083998
