GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
ARX-7	WBGene00000205	M01B12.3	M01B12.3	171882
ASB-1	WBGene00000206	F35G12.10.1	F35G12.10.1	175605
ASB-1	WBGene00000206	F35G12.10.2	F35G12.10.2	175605
ASB-2	WBGene00000207	F02E8.1.1	F02E8.1.1	180718
ASB-2	WBGene00000207	F02E8.1.2	F02E8.1.2	180718
ASB-2	WBGene00000207	F02E8.1.3	F02E8.1.3	180718
ASC-1	WBGene00000208	Y53F4B.15	Y53F4B.15	175159
ASG-1	WBGene00000209	K07A12.3	K07A12.3	172673
ASG-2	WBGene00000210	C53B7.4	C53B7.4	180956
ASM-1	WBGene00000211	B0252.2	B0252.2	174131
ASM-2	WBGene00000212	ZK455.4	ZK455.4	181323
ASM-3	WBGene00000213	W03G1.7a	W03G1.7a	176879
ASM-3	WBGene00000213	W03G1.7b	W03G1.7b	176879
ASP-1	WBGene00000214	Y39B6A.20.1	Y39B6A.20.1	180251
ASP-1	WBGene00000214	Y39B6A.20.2	Y39B6A.20.2	180251
ASP-1	WBGene00000214	Y39B6A.20.3	Y39B6A.20.3	180251
ASP-2	WBGene00000215	T18H9.2a	T18H9.2a	179302
ASP-2	WBGene00000215	T18H9.2b	T18H9.2b	179302
ASP-3	WBGene00000216	H22K11.1	H22K11.1	180947
ASP-4	WBGene00000217	R12H7.2	R12H7.2	181444
ASP-5	WBGene00000218	F21F8.3.1	F21F8.3.1	179211
ASP-5	WBGene00000218	F21F8.3.2	F21F8.3.2	179211
ASP-6	WBGene00000219	F21F8.7	F21F8.7	179209
ATF-2	WBGene00000220	K08F8.2	K08F8.2	174399
ATF-5	WBGene00000221	T04C10.4.1	T04C10.4.1	181576
ATF-5	WBGene00000221	T04C10.4.2	T04C10.4.2	181576
ATF-6	WBGene00000222	F45E6.2	F45E6.2	181405
ATF-7	WBGene00000223	C07G2.2a	C07G2.2a	175587
ATF-7	WBGene00000223	C07G2.2b	C07G2.2b	175587
ATF-7	WBGene00000223	C07G2.2c.1	C07G2.2c.1	175587
ATF-7	WBGene00000223	C07G2.2c.2	C07G2.2c.2	175587
ATF-7	WBGene00000223	C07G2.2d.1	C07G2.2d.1	175587
ATF-7	WBGene00000223	C07G2.2d.2	C07G2.2d.2	175587
ATGP-1	WBGene00000224	F26D10.9a	F26D10.9a	178504
ATGP-1	WBGene00000224	F26D10.9b	F26D10.9b	178504
ATGP-2	WBGene00000225	C38C6.2a	C38C6.2a	175125
ATGP-2	WBGene00000225	C38C6.2b	C38C6.2b	175125
ATGP-2	WBGene00000225	C38C6.2c.1	C38C6.2c.1	175125
ATGP-2	WBGene00000225	C38C6.2c.2	C38C6.2c.2	175125
ATL-1	WBGene00000226	T06E4.3a	T06E4.3a	179352
ATL-1	WBGene00000226	T06E4.3b	T06E4.3b	179352
ATL-1	WBGene00000226	T06E4.3c	T06E4.3c	179352
ATM-1	WBGene00000227	Y48G1BL.2a	Y48G1BL.2a	3565793
ATM-1	WBGene00000227	Y48G1BL.2b	Y48G1BL.2b	3565793
ATN-1	WBGene00000228	W04D2.1a	W04D2.1a	179709
ATN-1	WBGene00000228	W04D2.1b	W04D2.1b	179709
ATN-1	WBGene00000228	W04D2.1c	W04D2.1c	179709
ATN-1	WBGene00000228	W04D2.1d	W04D2.1d	179709
ATP-2	WBGene00000229	C34E10.6.1	C34E10.6.1	175716
ATP-2	WBGene00000229	C34E10.6.2	C34E10.6.2	175716
ATP-2	WBGene00000229	C34E10.6.3	C34E10.6.3	175716
ATP-3	WBGene00000230	F27C1.7a.1	F27C1.7a.1	172195
ATP-3	WBGene00000230	F27C1.7a.2	F27C1.7a.2	172195
ATP-3	WBGene00000230	F27C1.7a.3	F27C1.7a.3	172195
ATP-3	WBGene00000230	F27C1.7a.4	F27C1.7a.4	172195
ATP-3	WBGene00000230	F27C1.7a.5	F27C1.7a.5	172195
ATP-3	WBGene00000230	F27C1.7b	F27C1.7b	172195
ATX-2	WBGene00000231	D2045.1a	D2045.1a	176465
ATX-2	WBGene00000231	D2045.1b	D2045.1b	176465
ATX-2	WBGene00000231	D2045.1c	D2045.1c	176465
ATX-2	WBGene00000231	D2045.1d	D2045.1d	176465
AVR-14	WBGene00000232	B0207.12a	B0207.12a	172270
AVR-14	WBGene00000232	B0207.12b	B0207.12b	172270
AVR-14	WBGene00000232	B0207.12c	B0207.12c	172270
AVR-15	WBGene00000233	R11G10.1a	R11G10.1a	179834
AVR-15	WBGene00000233	R11G10.1b.1	R11G10.1b.1	179834
AVR-15	WBGene00000233	R11G10.1b.2	R11G10.1b.2	179834
AVR-15	WBGene00000233	R11G10.1c	R11G10.1c	179834
BAF-1	WBGene00000235	B0464.7	B0464.7	176330
BAG-1	WBGene00000236	F57B10.11	F57B10.11	172373
BAM-2	WBGene00000237	Y71F9AR.1	Y71F9AR.1	171868
BAR-1	WBGene00000238	C54D1.6	C54D1.6	180982
BAS-1	WBGene00000239	C05D2.4a	C05D2.4a	175778
BAS-1	WBGene00000239	C05D2.4b	C05D2.4b	175778
PAH-1	WBGene00000240	K08F8.4a	K08F8.4a	174401
PAH-1	WBGene00000240	K08F8.4b	K08F8.4b	174401
BBS-1	WBGene00000241	Y105E8A.5	Y105E8A.5	260219
BBS-2	WBGene00000242	F20D12.3	F20D12.3	259580
