GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
BAS-1	WBGene00000239	C05D2.4b	C05D2.4b
PAH-1	WBGene00000240	K08F8.4a	K08F8.4a
PAH-1	WBGene00000240	K08F8.4b	K08F8.4b
BBS-1	WBGene00000241	Y105E8A.5	Y105E8A.5
BBS-2	WBGene00000242	F20D12.3	F20D12.3
BBS-8	WBGene00000244	T25F10.5	T25F10.5
BCA-1	WBGene00000245	T13C5.5	T13C5.5
BCC-1	WBGene00000246	M7.3	M7.3
BEC-1	WBGene00000247	T19E7.3a	T19E7.3a
BEC-1	WBGene00000247	T19E7.3b	T19E7.3b
BEN-1	WBGene00000248	C54C6.2	C54C6.2
BIR-1	WBGene00000249	T27F2.3.1	T27F2.3.1
BIR-1	WBGene00000249	T27F2.3.2	T27F2.3.2
BIR-2	WBGene00000250	C50B8.2	C50B8.2
BLI-1	WBGene00000251	C09G5.6	C09G5.6
BLI-2	WBGene00000252	F59E12.12	F59E12.12
BLI-3	WBGene00000253	F56C11.1	F56C11.1
BLI-4	WBGene00000254	K04F10.4a.1	K04F10.4a.1
BLI-4	WBGene00000254	K04F10.4a.2	K04F10.4a.2
BLI-4	WBGene00000254	K04F10.4b.1	K04F10.4b.1
BLI-4	WBGene00000254	K04F10.4b.2	K04F10.4b.2
BLI-4	WBGene00000254	K04F10.4c.1	K04F10.4c.1
BLI-4	WBGene00000254	K04F10.4c.2	K04F10.4c.2
BLI-4	WBGene00000254	K04F10.4d.1	K04F10.4d.1
BLI-4	WBGene00000254	K04F10.4d.2	K04F10.4d.2
BLI-4	WBGene00000254	K04F10.4e.1	K04F10.4e.1
BLI-4	WBGene00000254	K04F10.4e.2	K04F10.4e.2
BLI-4	WBGene00000254	K04F10.4f.1	K04F10.4f.1
BLI-4	WBGene00000254	K04F10.4f.2	K04F10.4f.2
BLI-5	WBGene00000255	F45G2.5	F45G2.5
BLI-6	WBGene00000256	Y73B6BL.34	Y73B6BL.34
BMK-1	WBGene00000257	F23B12.8a.1	F23B12.8a.1
BMK-1	WBGene00000257	F23B12.8a.2	F23B12.8a.2
BMK-1	WBGene00000257	F23B12.8b	F23B12.8b
BPL-1	WBGene00000259	F13H8.10a	F13H8.10a
BPL-1	WBGene00000259	F13H8.10b	F13H8.10b
BPL-1	WBGene00000259	F13H8.10c.1	F13H8.10c.1
BPL-1	WBGene00000259	F13H8.10c.2	F13H8.10c.2
BRA-1	WBGene00000262	F54B11.6	F54B11.6
F23H11.5	WBGene00000263	F23H11.5.1	F23H11.5.1
F23H11.5	WBGene00000263	F23H11.5.2	F23H11.5.2
BRC-1	WBGene00000264	C36A4.8a	C36A4.8a
BRC-1	WBGene00000264	C36A4.8b	C36A4.8b
BRD-1	WBGene00000265	K04C2.4.1	K04C2.4.1
BRD-1	WBGene00000265	K04C2.4.2	K04C2.4.2
BRD-1	WBGene00000265	K04C2.4.3	K04C2.4.3
BRE-1	WBGene00000266	C53B4.7a.1	C53B4.7a.1
BRE-1	WBGene00000266	C53B4.7a.2	C53B4.7a.2
BRE-1	WBGene00000266	C53B4.7b	C53B4.7b
BRE-1	WBGene00000266	C53B4.7c.1	C53B4.7c.1
BRE-1	WBGene00000266	C53B4.7c.2	C53B4.7c.2
BRE-1	WBGene00000266	C53B4.7c.3	C53B4.7c.3
BRE-1	WBGene00000266	C53B4.7d	C53B4.7d
